Date,Time,Location,Latitude,Longitude,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
12/3/1922,,"Peshawar, Pakistan",34.0070,71.5331,Grands Express Aeriens,,,Breguet 14,,,1,1,0,
1/10/1923,,"Managua, Nicaragua",12.1393,-86.2610,Amee de l'Air,,,Lioré-et-Olivier H-13,F-AEIB,,4,3,0,
1/17/1923,,"Zahedan, Iran",29.4960,60.8643,Grands Express Aeriens,,,Breguet 14,F-ALJU,,1,1,0,
2/26/1923,,"Broennoysund, Norway",65.4639,12.1980,US Aerial Mail Service,,,De Havilland DH-4,291,,1,1,0,
5/14/1923,,"Quito, Ecuador",-0.2149,-78.5132,Grands Express Aeriens,,,Farman F-60 Goliath,F-AEBY,,6,6,0,
9/7/1923,,"Lagos, Nigeria",6.4511,3.3884,US Aerial Mail Service,,,De Havilland DH-4,283,,1,1,0,
9/14/1923,,"Miram, Pakistan",28.8500,67.8167,Daimler Airways,,,de Havilland DH-34,G-EBBS,29,6,6,0,
11/18/1923,,"Ahmedabad, India",23.0145,72.5918,CCCP,,,Junkers F-13,D-257,,4,2,0,
12/6/1923,,"Rzeszow, Poland",50.0333,22.0000,US Aerial Mail Service,,,De Havilland DH-4,318,,1,1,0,
12/23/1923,2:30,"Luxor, Egypt",25.6833,32.6500,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,,52,52,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
12/24/1923,,"Leonora, WA, Australia",-28.8800,121.3300,US Aerial Mail Service,,,De Havilland DH-4,315,,1,1,0,
3/7/1924,,"La Paz, Bolivia",-16.5000,-68.1500,US Aerial Mail Service,,,De Havilland DH-4,327,,1,1,0,
4/24/1924,,"Abilene, Texas",32.4500,-99.7500,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3,3,0,
8/1/1924,,"QuebeCity, Quebec, Canada",46.8142,-71.2074,US Aerial Mail Service,,,De Havilland DH-4,297,,1,1,0,
11/6/1924,,"Cucuta, Colombia",7.8942,-72.5039,Grands Express Aeriens,,,,F-AFBD,,1,1,0,
12/21/1924,,"Cancun, Mexico",21.1734,-86.8281,US Aerial Mail Service,,,De Havilland DH-4,311,,1,1,0,
3/22/1925,,"Paramaribo, Surinam",5.8667,-55.1667,Zakavia,,,Junkers F-13,R-RECA,590,5,5,0,
4/25/1925,,"Tarma, Peru",-11.4165,-75.6856,Grands Express Aeriens,,,Breguet 14,,,4,4,0,
5/25/1925,,"Borana, Somalia",1.1133,44.0303,Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBB,,2,2,0,
6/25/1925,,"Jalalabad, Afghanistan",34.4404,70.4419,KLM Royal Dutch Airlines,,,Fokker (KLM)  F.III,H-NABM,KLM-2,4,4,0,Crashed in poor weather.
6/26/1925,,"Chana, Angola",6.9247,100.7418,Grands Express Aeriens,,,Lioré-et-Olivier H-13,F-AHBH,,2,2,0,
7/20/1925,,"Shindand, Afghanistan",33.3071,62.1364,Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBI,,1,1,0,
7/24/1925,,"Kaiserslautern, Germany",49.4447,7.7689,CIDNA,,,Potez IX,,,1,1,0,
9/3/1925,5:30,"Point Alert, Ellesmere Island, NWT,Canada",82.4840,-62.3721,Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43,14,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
9/7/1925,,"Karakent, USSR",39.8489,47.0249,CIDNA,,,,,,3,3,0,
11/14/1925,,"Dingxi, China",35.5806,104.6263,Air Union,,,Farman F-60 Goliath,F-AMFY,,2,2,0,
2/12/1926,,"Garut, Jawa, Indonesia",-7.2484,107.9097,US Aerial Mail Service,,,Curtiss Carrier Pigeon,,,1,1,0,
7/3/1926,,"Tver, Russia",56.8625,35.9242,Compagnie Internationale de Navigation Aérienne,,Paris - Prague,Caudron C-61,F-AFBT,5307,7,7,0,Crashed while en route.
8/18/1926,,"Cuito, Angola",-12.3829,16.9416,Air Union,,,Bleriot 155,F-AIEB,2,4,4,0,Crashed in adverse weather conditions.  Engine failure.
9/26/1926,,"Van, Turkey",38.5035,43.3964,,,New York - Paris,Sikorsky S-25,,,5,2,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.
10/8/1926,,"Douala, Cameroon",4.0549,9.6987,Deutsche Lufthansa,,,Fokker FG III,D-468,1554,4,4,0,Weather related.
12/16/1926,,"Belle Anse, Haiti",18.2362,-72.0671,PacifiAir Transport,,,Ryan M-1,2,,1,1,0,
1/12/1927,,"Buga, Valle del Cauca, Colombia",3.9000,-76.3000,KLM Royal Dutch Airlines,,,Fokker F-VII,H-NADH,,2,2,0,
3/20/1927,,"Charkhidadri, India",28.5822,76.1828,Grands Express Aeriens,,,Breguet 14,F-ALRA,,1,1,0,
3/24/1927,,"Quiberon, France",47.4838,-3.1190,Qantas,,,de Havilland DH-9C,G-AUED,86,3,3,0,Stalled at low altitiude on approach to land
4/15/1927,,"Ghorepani, Nepal",28.3986,83.6992,Varney Air Lines,,,,,,1,1,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
4/22/1927,,"Khartoum, Sudan",15.5974,32.5347,US Aerial Mail Service,,,Douglas M-4,626,,1,1,0,
4/22/1927,,"Kathmandu, Nepal",27.7120,85.3130,Deutsche Lufthansa,,,Fokker FG III,D-729,1567,2,2,0,Engine failure.
5/2/1927,,"Tshikapa, Congo",-6.4167,20.8000,Air Union,,,SPCA Meteore 63,,,3,1,0,
7/27/1927,,"Roque Perez, Argentina",-35.4170,-59.3170,Deutsche Lufthansa,,,Junkers F-13,D-206,591,5,5,0,Engine failure.
8/22/1927,8:30,"Sari, Iran",36.5633,53.0600,KLM Royal Dutch Airlines,,Croydon - Schiphol,Fokker F-VIII,,4993,11,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
9/17/1927,,"Irkutsk, Russia",52.2907,104.2786,Reynolds Airways,,Sightseeing,Fokker F-VII,NC776,4840,12,7,0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
9/22/1927,,"Medellin, Colombia",6.2308,-75.5906,Deutsche Lufthansa,,,BFW M-18,D-1177,30,4,2,0,Engine failure.
9/23/1927,10:00,"Solo, Indonesia",-7.5717,110.8227,Deutsche Lufthansa,,Berlin - Munich,Dornier Merkur,D-585,,6,6,0,Broken wing strut.
10/30/1927,,"Milford Sound, New Zealand",-44.6085,167.8477,Colonial Air Transport,,,Fairchild FC-2,,,4,4,0,Went into a tailspin and crashed into a corn field
11/16/1927,,"Luena, Angola",-11.7836,19.9111,CIDNA,,,Farman F-121 Jabiru,,,1,1,0,
11/16/1927,,"Ipiales, Colombia",0.8233,-77.6353,Aero O-Y,,,Junkers F-13,K-SALD,798,6,6,0,
11/29/1927,,"Khorramabed, Iran",33.4841,48.3525,National Air Transport,,,Douglas M-4,,,1,1,0,
12/26/1927,,"Ayan, Russia",56.4583,138.1681,Aeropostale,,,Breguet 14,,,2,2,0,
12/28/1927,,"Xichang, China",27.8944,102.2644,Aeropostale,,,Breguet 14,F-AFGS,,1,1,0,
12/31/1927,,"Natashquan, Quebec, Canada",50.1333,-61.8000,Latecoere Airlines,,,Latécoère 23,,,4,4,0,
1/8/1928,,"Niederanven, Luxembourg",49.6514,6.2560,Colonial Western Airlines,,Minola - Albany - Buffalo,Fairchild FC-2,,39,3,3,0,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..
1/22/1928,,"Yengema, Sierra Leone",8.4928,-10.3322,Aeropostale,,,Breguet 14,F-AHEQ,,2,2,0,
1/22/1928,,"La Macarena, Colombia",2.1827,-73.7857,Aeropostale,,,Breguet 14,,,2,1,0,
1/27/1928,,"Jeddah, Saudi Arabia",21.5433,39.1728,Aeropostale,,,Breguet 14,F-AEEH,,1,1,0,
3/3/1928,,"Peshawar, Pakistan",34.0070,71.5331,,,,,,,10,10,0,
3/11/1928,,"Khartoum, Sudan",15.5974,32.5347,Air Union,,,Farman F-60 Goliath,F-AEFC,,2,2,0,
4/17/1928,,"Pueblo, Colorado",38.2654,-104.6104,Boeing Air Transport,,,Boeing 40,,,2,1,0,
5/7/1928,,"Pucallpa, Peru",-8.3833,-74.5500,Aeropostale,,,Latecoere 26,F-AIMQ,,1,1,0,
5/26/1928,,"Port Harcourt, Nigeria",4.7715,7.0143,Deutsche Lufthansa,,,Junkers F-13,D-583,742,5,3,0,Pilot error.
6/22/1928,,"Pownal, Vermont",42.8000,-73.2167,National Air Transport,,Chicago - Dallas,Douglas M-4,,,1,1,0,The mail plane flew into tornado like winds and crashed to the ground.
7/10/1928,,"Piacenza, Italy",45.0478,9.7006,Aero O-Y,,,Junkers F-13,K-SALB,760,6,6,0,
7/13/1928,,"Donetsk, Ukraine",47.9813,37.7753,Imperial Airways,,Testing,Vickers 74 Vulcan,G-EBLB,9,4,4,0,Crashed to the ground shortly after taking off killing two men and two women.
7/24/1928,,"Kandahar, Afghanistan",31.6167,65.7167,KLM Royal Dutch Airlines,,,Fokker (KLM) F.III,H-NABR,1533 (KLM-1),1,1,0,The plane crashed into the Waalhaven harbor.
8/25/1928,,"Sao Felix do Araguaia , Brazil",-11.6169,-50.6689,British Columbia Airways,,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7,7,0,Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster.
9/2/1928,,"Abuja, Nigeria",9.0667,7.4833,CIDNA,,,Bleriot Spad 56,,,3,3,0,
9/4/1928,,"Port Heiden, Alaska",56.9575,-158.6406,Qantas,,,de Havilland DH.50J,G-AUHI,,2,1,0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire."
9/6/1928,,"Dizangue, Cameroon",3.7667,9.9833,Deutsche Lufthansa,,,Fokker FG III,D-180,1531,3,3,0,Engine failure.
10/31/1928,,"Milwaukee, Wisconson",43.0500,-87.9500,Air Union,,,Bleriot Spad 56,F-AIMN,,2,1,0,
11/15/1928,,"Kamina, Congo",-8.7321,24.9938,Aeropostale,,,Latecoere 32,F-AISN,,2,1,0,
11/25/1928,,"Shinile, Ethiopia",9.6670,41.8330,National Air Transport,,,Douglas M-4,,,1,1,0,The mail plane crashed in a snow storm.
11/25/1928,,"Ruidoso, New Mexico",33.3322,-105.6749,Continental Air Lines,,Cleveland - Louisville,Travel Air 4000,,,3,3,0,The mail plane crashed in a heavy snow storm
12/1/1928,10:00,"Cubarral, Colombia",3.7919,-73.8413,Sunbeam Air Transport Co.,,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,NC7862,4-AT-47,5,5,0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.
12/3/1928,8:00,"Isparta, Turkey",37.7647,30.5567,Syndicato Condor,,,Dornier Wal,P-BACA,63,14,14,0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately."
12/4/1928,,"Rumbek, Sudan",6.8058,29.6761,,,,Junkers G24,,,6,6,0,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.
12/11/1928,,"Chelyabinsk, Russia",55.1547,61.3758,Deutsche Lufthansa,,,Junkers G-31,D-1473,3005,4,3,0,Weather related.
12/23/1928,,"Malakal, Sudan",9.5500,31.6500,Interstate Airlines,,,Fairchild FC-2,,,4,4,0,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.
12/31/1928,,"Khartoum, Sudan",15.5974,32.5347,CIDNA,,,Blériot Spad 66,F-AEHX,40,3,2,0,Crashed into high ground in fog.
1/18/1929,,"Junction City, California",40.7436,-123.0586,Varney Air Lines,,,Stearman C-38,,,1,1,0,While attempting to make an emergency landing on the Minam river the plane hit a bolder
1/31/1929,,"Bukavu, Congo",-2.5000,28.8667,Aeropostale,,,Latecoere 26,,,2,2,0,
3/17/1929,,"Wamena, Indonesia",-4.2703,138.7461,Colonial Western Airlines,,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,4-AT-41,15,14,0,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.
3/30/1929,9:18,"El Alto de Rubio, Venezuela",-16.5167,-68.1667,New Standard Airlines,,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,NC7888,617,4,4,0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred."
4/21/1929,,"Madiun, Indonesia",-7.5946,111.5449,Maddux Airlines / Military - U.S.Army Air Force,,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,4-AT-010,6,6,0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent."
5/18/1929,,"Isiro, DemocratiRepubliCongo",2.7574,27.6262,MALERT,,,Fokker F-III,H-MABC,,2,2,0,
5/22/1929,,"Port Hope Simpson, Newfoundland, Canada",52.5333,-56.3000,Aeropostale,,,Cams 53,F-AISX,,5,4,0,
6/10/1929,,"Phu Quoc, Vietnam",10.2288,103.8173,Pan American Airways,,Santiago de Cuba - Havana,Fokker F-X,NC9700,,5,2,0,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.
6/17/1929,,"Port Said, Egypt",31.2571,32.2953,Imperial Airways,,,Handley Page W-10,G-EBMT,W10/4,13,7,0,The plane was over the English Channel when an engine failed. The pilot tried to return to the airport but the plane ditched into the English Channel. The plane was named 'City of Ottawa.'
6/24/1929,,"Cap d'Antibes, France",43.5808,7.1239,Northwest Orient Airlines,,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,NC7416,5-AT-002,8,1,0,Crashed near Indian Mounds park shortly after taking off. Triple engine failure.
6/29/1929,,"Los Angeles, California",34.0522,-118.2433,Aero Lloyd,,,Domier Delphin III,D-1620,151,5,5,0,The aircraft crashed into lake Constance while attempting to landing.
6/29/1929,,"Los Angeles, California",34.0522,-118.2433,Continental Air Lines,,,Travel Air 4000,,,1,1,0,
8/24/1929,,"Chongjin, North Korea",41.8000,129.7833,Deutsche Lufthansa,,,Fokker FG II,D-757,1571,5,4,0,Weather related.
9/3/1929,c: 1:00,"Caracas, Venezuela",10.5028,-66.9190,Trans Continental Air Transport,,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,NC9649,5-AT-002,8,8,0,Crashed in a thunderstorm after being struck by lightning. The plane was named 'The City of San Francisco.'
9/6/1929,,"Santo Domingo, Dominican Republic",18.4720,-69.9020,Imperial Airways,,"London, England - India",de Havilland DH-66 Hercules,G-EBMZ,239,5,3,0,The mail plane caught fire after crash landing.
9/17/1929,,"Puntarenas, Costa Rica",9.9774,-84.8337,Aeropostale,,,Latecoere 25-3-R,F-AIUJ,704,5,5,0,Crashed into the Mediterranean.
9/17/1929,,"Algiers, Algeria",36.7717,3.0518,Pickwick Airways,,Tijuana - Nogales,Fairchild 71,,,2,1,0,The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm.
9/17/1929,,"Copenhagen, Denmark",55.6758,12.5690,Colonial Air Transport,,,Pitcairn PA-6 Mailwing,,,1,1,0,The mail plane crashed into Mt. Lamentation and burst into flames.
10/26/1929,,"Livorno, Italy",43.5500,10.3167,Imperial Airways,,,Short Calcutta,G-AADN,5748,7,7,0,The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named 'City of Rome.'
10/29/1929,,"Padang, Philippines",-0.9525,100.3618,Continental Air Lines,,Cleveland - Louisville,Stearman C-38,,,1,1,0,The mail plane crashed into a grove of trees 8 miles southwest of Mount Vernon.
10/31/1929,,"Las Palmas, Canary Islands, Spain",28.1248,-15.4300,Bremerton-Seattle Air Taxi / Gorst Air Lines,,Bremerton,Loening C-2C,,,2,2,0,The air taxi crashed into Puget Sound as it attempted to take off.
11/6/1929,,"Athens, Greece",37.9753,23.7361,Deutsche Lufthansa,,Amsterdam - Croyden,Junkers G-24,D-903,911,8,7,0,Crashed in heavy rain and fog while attempting to land.
11/30/1929,,"Funchal, Portugal",32.6475,-16.9050,Varney Air Lines,,,Stearman M-2 Speedmail,,,1,1,0,The mail plane crashed into a fog bound tower of the interstate bridge spanning the Columbia River.
12/2/1929,,"Brunswick, Maine",43.9524,-69.8738,National Air Transport,,,Douglas M-3,,,1,1,0,The mail plane crashed en route during a storm.
12/14/1929,,"AFB, California",37.0689,-120.3042,Aeropostale,,,Bernard 192,F-AJDA,,3,3,0,
12/19/1929,,"Papeete, Tahiti",-17.5373,-149.5660,Deutsche Lufthansa,,,Arado V1,D-1594,,3,2,0,Forced landing 40 miles from Berlin.
1/10/1930,,"Saint Thomas, U.S. Virgin Islands",18.3330,-64.9170,Boeing Air Transport,,,Boeing 95,NC184E,,1,1,0,The airmail plane crash landed and burst into flames on a farm in fog and snow while attempting to make an emergency landing.
1/13/1930,,"Sonderborg, Denmark",54.9093,9.8073,Air Orient,,,Farman 190,F-AJJK,,3,3,0,
1/19/1930,18:23,"Cape Paterson, Australia",-38.6718,145.6199,Maddux Airlines,7,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,NC9689,5-AT-046,16,16,0,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control."
1/25/1930,,"Amapala, Honduras",13.2930,-87.6537,Aeropostale,,,Latecoere 25,F-AJCL,,2,2,0,
2/3/1930,,"Beirut, Lebanon",33.8869,35.5131,Colonial Air Transport,,"Newark, NJ - Hartford, CT",Pitcairn PA-6 Mailwing,,,1,1,0,While attempting to land the plane struck a building and fell into the Connecticut river.
2/10/1930,,"Santa Maria, Colombia",11.2320,-74.2007,Air Union,,,Farman F-63,F-FHMY,,2,2,0,
4/18/1930,c:17:00,"Kota Kinabalu, Malaysia",5.9714,116.0953,Canadian Colonial Airways,,"Albany, NY - Jersey City, NJ",Fairchild 71,,634,4,4,0,Crashed into power lines 150 feet above the ground in fog.
5/10/1930,,"Adler, Russia",43.4333,39.9167,Aeropostale,,,Latecoere 28,F-AJPD,,4,3,0,
6/5/1930,,"Bridgetown, Barbados",13.1127,-59.6136,Colonial Air Transport,,,Ford Tri-Motor 5,NC9675,5-AT-033,15,1,0,Crashed into Boston Harbor after loosing the right  engine on takeoff.
7/7/1930,,"Aden, Yemen",12.8098,45.0355,Deutsche Lufthansa,,Stettin - Norway,Dornier Wal,D-864,44,8,5,0,"The flying boat landed in a storm in the open ocean due to engine failure. After three hours, the plane was  capsized by a large wave."
8/22/1930,,"Kirovograd, Ukraine",48.5169,32.2526,Ceskoslovenske Aerolinie,,Prague - Brun -  Pressburg,Ford 5-AT-C Tri Motor,OK-FOR,5-AT-050,11,10,0,"Crashed while the pilot attempted to make an  emergency landing in fog, during a storm."
