Date,Time,location,Latitude,long,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
12/21/1924,,Goshen,41.5812,-85.8344,US Aerial Mail Service,,,De Havilland DH-4,311,,1,1,0,
4/25/1925,,Alicante,38.3453,-0.4831,Grands Express Aeriens,,,Breguet 14,,,4,4,0,
5/25/1925,,Alicante,38.3453,-0.4831,Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBB,,2,2,0,
6/25/1925,,Landrais,46.0693,-0.8617,KLM Royal Dutch Airlines,,,Fokker (KLM)  F.III,H-NABM,KLM-2,4,4,0,Crashed in poor weather.
6/26/1925,,Alicante,38.3453,-0.4831,Grands Express Aeriens,,,LiorÃ©-et-Olivier H-13,F-AHBH,,2,2,0,
7/20/1925,,Roses,42.263,3.1748,Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBI,,1,1,0,
9/3/1925,5:30,Caldwell,39.7478,-81.5167,Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43,14,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
2/12/1926,,Montpelier,41.5831,-84.6042,US Aerial Mail Service,,,Curtiss Carrier Pigeon,,,1,1,0,
3/8/1926,,Staufen im Breisgau,47.8814,7.7314,Deutche Lufthansa,,,Junkers F-13,,,1,1,0,
7/9/1926,,Meise,50.934,4.3273,KLM Royal Dutch Airlines,,,Fokker F-4,H-NACC,4759,2,2,0,
7/24/1926,,Juist,53.6786,6.9975,Deutsche Lufthansa,,,Junkers F-13,D-272,660,4,4,0,Weather related.
8/18/1926,,Amherst,42.367,-72.517,Air Union,,,Bleriot 155,F-AIEB,2,4,4,0,Crashed in adverse weather conditions.  Engine failure.
9/26/1926,,New York,40.713,-74.0072,,,New York - Paris,Sikorsky S-25,,,5,2,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.
10/8/1926,,Boren,54.6134,9.8176,Deutsche Lufthansa,,,Fokker FG III,D-468,1554,4,4,0,Weather related.
11/11/1926,,Cape Bojador,26.1239,-14.4849,Grands Express Aeriens,,,Breguet 14,,,3,3,0,
12/16/1926,,Medford,42.3319,-122.8619,PacifiAir Transport,,,Ryan M-1,2,,1,1,0,
1/12/1927,,Lille,50.6313,3.0628,KLM Royal Dutch Airlines,,,Fokker F-VII,H-NADH,,2,2,0,
3/20/1927,,Rabat,34.0209,-6.8417,Grands Express Aeriens,,,Breguet 14,F-ALRA,,1,1,0,
3/24/1927,,Tambo,-24.8833,146.25,Qantas,,,de Havilland DH-9C,G-AUED,86,3,3,0,Stalled at low altitiude on approach to land
4/15/1927,,King Hill,43.0031,-115.207,Varney Air Lines,,,,,,1,1,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
4/22/1927,,Goshen,41.5812,-85.8344,US Aerial Mail Service,,,Douglas M-4,626,,1,1,0,
5/2/1927,,Algiers,36.7717,3.0518,Air Union,,,SPCA Meteore 63,,,3,1,0,
7/27/1927,,Amöneburg,50.7978,8.9231,Deutsche Lufthansa,,,Junkers F-13,D-206,591,5,5,0,Engine failure.
8/22/1927,8:30,Sevenoaks,51.2781,0.1874,KLM Royal Dutch Airlines,,Croydon - Schiphol,Fokker F-VIII,,4993,11,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
9/3/1927,,Willington,41.8748,-72.2628,Colonial Air Transport,,,Fokker Universal,,,1,1,0,
9/17/1927,,Hazlet,40.4256,-74.1687,Reynolds Airways,,Sightseeing,Fokker F-VII,NC776,4840,12,7,0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
9/22/1927,,"Haale, Germany",54.1833,9.55,Deutsche Lufthansa,,,BFW M-18,D-1177,30,4,2,0,Engine failure.
9/23/1927,10:00,Schleich,49.8131,6.8411,Deutsche Lufthansa,,Berlin - Munich,Dornier Merkur,D-585,,6,6,0,Broken wing strut.
10/6/1927,,Thiès,14.7833,-16.9167,Lignes Aeriennes Latecoere,,,Breguet 14,F-AGBN,,2,2,0,
11/29/1927,,A Coruña,43.365,-8.41,National Air Transport,,,Douglas M-4,,,1,1,0,
12/26/1927,,Almería,36.8401,-2.4679,Aeropostale,,,Breguet 14,,,2,2,0,
1/16/1928,,Solís,-34.7931,-55.3833,Aeropostale,,,Latecoere 25,,,2,2,0,
1/22/1928,,Tarragona,41.1187,1.2453,Aeropostale,,,Breguet 14,F-AHEQ,,2,2,0,
1/27/1928,,Almería,36.8401,-2.4679,Aeropostale,,,Breguet 14,F-AEEH,,1,1,0,
2/26/1928,,Marquette,41.0061,-98.0097,Boeing Air Transport,,,Boeing 40,NC280,,2,1,0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
3/3/1928,,Rio de Janeiro,-22.9014,-43.1789,,,,,,,10,10,0,
4/19/1928,,Vinuesa,41.9167,-2.7667,Iberia Airlines,,,Rohrbach Roland,M-CCCC,,9,9,0,Crashed in fog.
5/12/1928,,Dearborn,42.3221,-83.1759,Ford Air Freight Inc.,,,Ford 4,NC1492,,2,2,0,
5/26/1928,,Radevormwald,51.2013,7.3583,Deutsche Lufthansa,,,Junkers F-13,D-583,742,5,3,0,Pilot error.
6/14/1928,,Frankfurt,50.1109,8.6795,Deutsche Lufthansa,,,AEGK,D-74,439,5,5,0,
6/22/1928,,Lebo,38.4156,-95.8586,National Air Transport,,Chicago - Dallas,Douglas M-4,,,1,1,0,The mail plane flew into tornado like winds and crashed to the ground.
9/4/1928,,Adelaide Hills Council,-34.95,138.883,Qantas,,,de Havilland DH.50J,G-AUHI,,2,1,0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire."
9/4/1928,,Pocatello,42.8752,-112.4473,National Parks Airways,,,Fokker Super Universal,NC7242,809,7,7,0,
9/6/1928,,Heroldsbach,49.693,10.9978,Deutsche Lufthansa,,,Fokker FG III,D-180,1531,3,3,0,Engine failure.
10/4/1928,,Girona,41.9816,2.8236,Aeropostale,,,Breguet 14,,,3,3,0,
10/18/1928,,Polk,41.3653,-79.9325,National Air Transport,,,Douglas M-4,,,1,1,0,The mail plane crashed and burned during the night.
10/31/1928,,Valence,44.9333,4.8917,Air Union,,,Bleriot Spad 56,F-AIMN,,2,1,0,
11/24/1928,,Edgerton,41.4488,-84.7481,Universal Airlines,,Cleveland - Chicago,Hamilton H-47,,46,3,3,0,The mail plane crashed in a heavy snow storm.
11/25/1928,,Bristolville,41.379,-80.8679,National Air Transport,,,Douglas M-4,,,1,1,0,The mail plane crashed in a snow storm.
11/25/1928,,Edgerton,41.4488,-84.7481,Continental Air Lines,,Cleveland - Louisville,Travel Air 4000,,,3,3,0,The mail plane crashed in a heavy snow storm
12/1/1928,10:00,Spur,33.4778,-100.8569,Sunbeam Air Transport Co.,,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,NC7862,4-AT-47,5,5,0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.
12/4/1928,,Rio de Janeiro,-22.9014,-43.1789,,,,Junkers G24,,,6,6,0,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.
12/11/1928,,Letzlingen,52.4469,11.4856,Deutsche Lufthansa,,,Junkers G-31,D-1473,3005,4,3,0,Weather related.
12/20/1928,,Huron,41.3997,-82.565,National Air Transport,,Cleveland - Chicago,Douglas M-4,,,1,1,0,The mail plane crashed into an apple tree during a snow storm.
12/23/1928,,Chattanooga,35.0456,-85.2672,Interstate Airlines,,,Fairchild FC-2,,,4,4,0,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.
12/31/1928,,Reims,49.2628,4.0347,CIDNA,,,BlÃ©riot Spad 66,F-AEHX,40,3,2,0,Crashed into high ground in fog.
1/5/1929,,Stafford Springs,41.9534,-72.303,Colonial Air Transport,,,Fairchild FC-2,,,1,1,0,
1/18/1929,,Cove,45.2968,-117.8108,Varney Air Lines,,,Stearman C-38,,,1,1,0,While attempting to make an emergency landing on the Minam river the plane hit a bolder
1/31/1929,,Morgantown,39.6298,-79.9559,Skyline Transportation Company,,,Travel Air 4000,,,1,1,0,
3/17/1929,,Newark,40.7242,-74.1726,Colonial Western Airlines,,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,4-AT-41,15,14,0,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.
4/21/1929,,San Diego,32.715,-117.1625,Maddux Airlines / Military - U.S.Army Air Force,,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,4-AT-010,6,6,0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent."
5/22/1929,,Algiers,36.7717,3.0518,Aeropostale,,,Cams 53,F-AISX,,5,4,0,
6/10/1929,,Santiago de Cuba,20.025,-75.8213,Pan American Airways,,Santiago de Cuba - Havana,Fokker F-X,NC9700,,5,2,0,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.
6/14/1929,,Barcelona,41.3879,2.1699,Aeropostale,,,Breguet 14,F-AFEJ,,2,1,0,
6/24/1929,,Saint Paul,44.9437,-93.0943,Northwest Orient Airlines,,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,NC7416,5-AT-002,8,1,0,Crashed near Indian Mounds park shortly after taking off. Triple engine failure.
6/29/1929,,Columbus,39.9833,-82.9833,Continental Air Lines,,,Travel Air 4000,,,1,1,0,
8/11/1929,,Clovis,34.412,-103.1952,Middle States Airlines,,,Lockheed Vega,NC870E,,4,4,0,
8/13/1929,,Perpignan,42.6986,2.8956,Aeropostale,,,Breguet 14,,,1,1,0,
8/24/1929,,Sochi,43.5849,39.7187,Ukvozduchput,,,Kalinin K-4,CCCP-217,,1,1,0,
8/24/1929,,Ulm,48.4,9.9833,Deutsche Lufthansa,,,Fokker FG II,D-757,1571,5,4,0,Weather related.
9/2/1929,,Needles,34.8484,-114.614,Associated Aviators,,,Lockheed Vega,NR859E,,2,1,0,The plane crashed after going into a tail spin. The mechaniwas able to parachute to safety.
9/6/1929,,Gask,33.0408,59.7064,Imperial Airways,,"London, England - India",de Havilland DH-66 Hercules,G-EBMZ,239,5,3,0,The mail plane caught fire after crash landing.
9/17/1929,,Jacumba,32.6199,-116.1916,Pickwick Airways,,Tijuana - Nogales,Fairchild 71,,,2,1,0,The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm.
10/29/1929,,Mount Vernon,40.3928,-82.4811,Continental Air Lines,,Cleveland - Louisville,Stearman C-38,,,1,1,0,The mail plane crashed into a grove of trees 8 miles southwest of Mount Vernon.
11/4/1929,7:00,Cerro,36.7542,-105.6126,Corp. Aeronautica de Transportes,,Mexico City - Juarez,Lockheed Vega 5,NC46M,97,4,4,0,The mail plane crashed in dense fog.
11/30/1929,,Vancouver,49.2636,-123.1386,Varney Air Lines,,,Stearman M-2 Speedmail,,,1,1,0,The mail plane crashed into a fog bound tower of the interstate bridge spanning the Columbia River.
12/2/1929,,Chagrin Falls,41.4298,-81.3917,National Air Transport,,,Douglas M-3,,,1,1,0,The mail plane crashed en route during a storm.
12/30/1929,,Amarillo,35.1992,-101.8453,Trans Continental Air Transport,,,Travel Air B6000,,,5,5,0,Crashed on approach onto a golf course.
1/10/1930,,"Brownson, Nebraska",41.1844,-103.1083,Boeing Air Transport,,,Boeing 95,NC184E,,1,1,0,The airmail plane crash landed and burst into flames on a farm in fog and snow while attempting to make an emergency landing.
1/13/1930,,Antananarivo,-18.9085,47.5375,Air Orient,,,Farman 190,F-AJJK,,3,3,0,
1/19/1930,18:23,Oceanside,33.2117,-117.3258,Maddux Airlines,7,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,NC9689,5-AT-046,16,16,0,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control."
1/27/1930,17:30,Kansas City,39.0997,-94.5783,Central  Airlines,,"Wichita - Kansas City, KS",Travel Air A6000A,,963,5,5,0,"While preparing to land, the plane side slipped and dived into the ground from a height of 500 ft. and caught fire. As quickly as the bodies were removed, a hastily mustered crew of pilots and mechanics from Universal Airlines  and Central Airlines, began removing all evidence of the accident, savagely fighting off reporters and photographers as they worked."
2/3/1930,,Hartford,41.7658,-72.6734,Colonial Air Transport,,"Newark, NJ - Hartford, CT",Pitcairn PA-6 Mailwing,,,1,1,0,While attempting to land the plane struck a building and fell into the Connecticut river.
2/10/1930,,Marden,51.1746,0.4911,Air Union,,,Farman F-63,F-FHMY,,2,2,0,
4/18/1930,c:17:00,Jersey City,40.714,-74.071,Canadian Colonial Airways,,"Albany, NY - Jersey City, NJ",Fairchild 71,,634,4,4,0,Crashed into power lines 150 feet above the ground in fog.
6/5/1930,,Boston,42.3581,-71.0636,Colonial Air Transport,,,Ford Tri-Motor 5,NC9675,5-AT-033,15,1,0,Crashed into Boston Harbor after loosing the right  engine on takeoff.
7/10/1930,,Aransas Pass,27.9,-97.1333,Cross Airways,,,Lockheed Vega 5,NC-394H,87,5,5,0,"The aircraft exploded in the air at an altitude of 4,000 feet shortly after taking off. The plane was flying in an area of fog and thunderstorms."
8/22/1930,,Jihlava,49.3955,15.591,Ceskoslovenske Aerolinie,,Prague - Brun -  Pressburg,Ford 5-AT-C Tri Motor,OK-FOR,5-AT-050,11,10,0,"Crashed while the pilot attempted to make an  emergency landing in fog, during a storm."
9/11/1930,,Croydon,51.3727,-0.1099,Sabena,,,Sabca F-VII,OO-AIN,,2,2,0,
9/25/1930,,Southesk Parish,46.9535,-65.6802,Western Canada Airways,,Calgary - Moosejaw,,,,3,3,0,The air mail plane crashed in fog  while en route.
10/6/1930,9:45,Dresden,51.0333,13.7333,Deutsche Lufthansa,,Berlin - Vienna,Messerschmitt M-20B,D-1930,443,8,8,0,Crashed into hill while attempting to land.
10/12/1930,,Larache,35.1833,-6.15,Aeropostale,,Casablanca - Bahat - Toulouse,Latecoere 28,F-AJUU,,4,4,0,The french postal plane crashed into mountains.
10/28/1930,,Prince Rupert,54.3122,-130.3271,Alaska-Washington Airways,,,Lockheed Vega,NC103W,120,3,3,0,
10/30/1930,,Brookston,40.6011,-86.8658,Embry Riddle Company,,,Pitcairn PA-6 Mailwing,,,1,1,0,After developing engine trouble the pilot tried to parachute out of the plane but the parachute got caught on the plane and the pilot was dragged to his death.
1/8/1931,,Melle,51.0048,3.8024,Sabena,,,Fokker F-VII,OO-AIL,,2,2,0,
2/20/1931,,"Bagot, Manitoba",49.9684,-98.6291,Western Canada Airways,,Winnigeg - Moosejaw,Fokker Universal F-14,,,3,2,0,"The plane carrying mail, crashed into a field, turned over and burst into flames. There was heavy fog in the area of the accident."
3/31/1931,10:45,Bazaar,38.2719,-96.5353,Trans Continental and Western Air,599,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,NC-999,1063,8,8,0,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed."
5/5/1931,23:30,Burbank,34.1821,-118.3075,PacifiAir Transport,,San Diego - Los Angeles,Boeing 40,NC5390,,2,2,0,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.
5/24/1931,22:30,Bellefonte,40.9134,-77.7648,National Air Transport,,,Boeing 95,NC397E,,1,1,0,Crashed into a mountain and burned in poor visibility.
6/11/1931,,Walbridge,41.5883,-83.4894,Rubner Flying Service,,,Lockheed Vega 2,NC857E,64,3,2,0,A wing buckled as the plane was attempting to land and the plane crashed.
7/12/1931,,Chicago,41.8832,-87.6324,Braniff Airlines,,Chicago - Detroit,Lockheed Vega,NC8497,,2,2,0,Engine quit while taking off. The plane crashed from a height of 700 feet. The pilot tried to return to the airport  by banking to the right but did not have sufficient altitude to recover.
7/14/1931,,Temora,-34.4333,147.5333,Australian Aerial Services,,,Lasco Lascowl,VH-UGF,,2,2,0,
7/21/1931,,Centralia,38.5261,-89.1332,American Airways,,,Pitcairn PA-6 Mailwing,,,1,1,0,
8/9/1931,8:40,Cincinnati,39.1037,-84.5136,American Airways,,,Ford 5-AT-C Tri Motor,NC9662,5AT-029,6,6,0,Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.
9/14/1931,20:00,Chicago,41.8832,-87.6324,Chicago-Detroit Airways,,,Lockheed Vega,NC606,,1,1,0,Crashed in a severe rainstorm while attempting to land.
9/16/1931,4:00,Oakland,37.8048,-122.2725,PacifiAir Transport,,"Oakland, CA - Seattle, WA",Boeing 40,NC10347,,4,4,0,Crashed into San Francisco Bay shortly after taking off from Oakland airport.
11/5/1931,6:48,Camden,39.9452,-75.1188,"NY, Phil., Washington AW",,"Newark, NJ  - Camden, NJ - Washington DC",Lockheed Orion 9,NC12221,178,5,5,0,Crashed  onto a golf course and burst into flames after circling the airport twice to land.
11/23/1931,,Salt Lake City,40.75,-111.8833,Boeing Air Transport,,,Boeing 40,NC7465,,1,1,0,The mail plane crashed 8 miles west of Salt Lake airport. It is believed the plane overturned while attempting to land in the dark.
11/26/1931,22:30,Pasco,46.2386,-119.1086,Varney Air Lines,,"Portland,  WA - Pasco, WA",Boeing 40,NC10338,,1,1,0,Crashed in fog while attempting to land.
12/5/1931,,Kewanee,41.2333,-89.9333,Braniff Airways,,Kansas City - Chicago,Lockheed Vega 5,NC433E,49,6,2,0,Crashed attempting to land at an alternate airfield in a sleet storm. The plane struck the roof of a barn adjacent to the airfield and was destroyed. Icing.
12/31/1931,,Springfield,39.9269,-83.8042,American Airways,,"Port Colombus, OH - Louisville, KY",Fairchild Pilgrim 100A,,,5,4,0,"Under orders from his supervisor, the pilot took off in extremely poor weather conditions. After encountering fog he attempted to turn back to the airport but a wing tip struck a knoll and the plane crashed."
1/21/1932,,Colvin Park,42.1314,-88.7836,Northwest Airways,,"Rockford - Chicago, IL - Madison, WI",Stinson SM-2A,,,1,1,0,Crashed in heavy fog a few minutes after taking off from Rockford. A witness said the plane caught fire after an explosion in mid air and crashed.
1/29/1932,,Lebec,34.8422,-118.8839,Century PacifiLines,,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,,5034,8,8,0,Crashed into a canyon in mountains during a snowstorm.
2/2/1932,,Marcellus,42.0258,-85.8156,Transamerican Airlines,,Chicago - Kalamazoo,Stearman C-3MB,,,1,1,0,Mail plane crashed.
2/2/1932,,Rio Vista,38.1639,-121.6958,Boeing Air Transport,,,Boeing 40,NC7470,,2,1,0,Struck an irrigation ditch and caught fire  during landing.
3/19/1932,,Calimesa,33.9881,-117.0428,American Airways,,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,,1027,7,7,0,Crashed into an orchard after striking power lines in fog.
3/21/1932,,Steubenville,40.35,-80.6167,Trans Continental and Western Air,,Columbus - McKeesport,Northrop Alpha,,,1,1,0,The mail plane pilot drowned when his parachute tangled in the fuselage and he was dragged into the Ohio River after his plane crashed.
3/31/1932,,Bedford Heights,41.4047,-81.5064,National Air Transport,,,Boeing 95,NC191E,,1,1,0,
